feature,mean_abs_shap
cat__marital_status_Married-civ-spouse,0.8702618814175379
num__capital_gain,0.7477546570247561
num__education_num,0.507538843212655
num__age,0.3316554879682391
num__hours_per_week,0.28427625818068447
cat__relationship_Own-child,0.26623578884019244
cat__marital_status_Never-married,0.2130683928603591
cat__occupation_Exec-managerial,0.1945273240387279
cat__sex_Female,0.17778211847858597
cat__sex_Male,0.17057408137225988
cat__occupation_Prof-specialty,0.16145175760589434
cat__relationship_Wife,0.14067420828747076
cat__occupation_Other-service,0.14030859462196055
cat__workclass_Private,0.11483792527099766
cat__native_country_United-States,0.10971953724223363
cat__race_White,0.09272088963691276
num__capital_loss,0.08473825818716989
cat__occupation_Sales,0.08060558785505818
cat__relationship_Not-in-family,0.07628389521935526
cat__occupation_Farming-fishing,0.06930980417039956
cat__relationship_Husband,0.06061602017163181
cat__occupation_Handlers-cleaners,0.048260809032031025
cat__occupation_Craft-repair,0.03663229162584156
cat__workclass_Federal-gov,0.03610021066076059
cat__relationship_Other-relative,0.035043716523548464
cat__occupation_Tech-support,0.0342167524903177
cat__workclass_Self-emp-not-inc,0.031071261524263136
cat__education_Assoc-acdm,0.02766426675528068
cat__education_HS-grad,0.026021227819195816
cat__occupation_?,0.02346892234266734
cat__race_Amer-Indian-Eskimo,0.021259391082255934
cat__occupation_Machine-op-inspct,0.020711631693868995
cat__occupation_Protective-serv,0.019339999192010512
cat__education_11th,0.017200186069282333
cat__workclass_Self-emp-inc,0.01666166168294206
cat__workclass_State-gov,0.016438606512882325
cat__race_Asian-Pac-Islander,0.01630523722719793
cat__workclass_?,0.015623954096008039
cat__education_Some-college,0.014800663805385025
cat__native_country_Philippines,0.010345078561996063
cat__marital_status_Separated,0.0095819935132186
cat__education_5th-6th,0.009300298958428236
cat__occupation_Adm-clerical,0.00914568441343937
cat__occupation_Priv-house-serv,0.00902015609042851
cat__native_country_Mexico,0.008052723236193401
cat__native_country_Italy,0.006904802248102701
cat__education_Assoc-voc,0.0059236255670868125
cat__occupation_Transport-moving,0.00545932426225508
cat__relationship_Unmarried,0.004363873162193621
cat__education_12th,0.003652677734720664
cat__education_Prof-school,0.0034276204718506624
cat__marital_status_Married-spouse-absent,0.0032574330937945564
cat__race_Other,0.0024545849947469685
cat__native_country_Canada,0.0022298421978199775
cat__education_Doctorate,0.0022266348150039813
cat__marital_status_Widowed,0.0012047047053250063
cat__education_Masters,0.0011695900848944717
cat__education_1st-4th,0.0010482476565573092
cat__native_country_Columbia,0.0009598038959328921
cat__native_country_Dominican-Republic,0.0007007620782066619
cat__native_country_Cambodia,0.0006883493037284073
cat__native_country_South,0.0006119822331240924
cat__native_country_El-Salvador,0.00034745478499919236
cat__native_country_China,0.0003361954119910321
cat__native_country_Japan,0.00024355270868549016
cat__education_10th,0.00017422428417787
cat__native_country_Greece,8.037064321488311e-05
cat__native_country_Germany,3.0322247157684058e-05
cat__native_country_Puerto-Rico,2.7401543848450094e-05
cat__workclass_Never-worked,0.0
cat__workclass_Local-gov,0.0
cat__workclass_Without-pay,0.0
cat__education_9th,0.0
cat__education_7th-8th,0.0
cat__education_Bachelors,0.0
cat__occupation_Armed-Forces,0.0
cat__education_Preschool,0.0
cat__marital_status_Divorced,0.0
cat__marital_status_Married-AF-spouse,0.0
cat__race_Black,0.0
cat__native_country_Ecuador,0.0
cat__native_country_Cuba,0.0
cat__native_country_?,0.0
cat__native_country_England,0.0
cat__native_country_Hong,0.0
cat__native_country_Hungary,0.0
cat__native_country_Honduras,0.0
cat__native_country_Haiti,0.0
cat__native_country_Holand-Netherlands,0.0
cat__native_country_France,0.0
cat__native_country_Guatemala,0.0
cat__native_country_Laos,0.0
cat__native_country_Jamaica,0.0
cat__native_country_Iran,0.0
cat__native_country_Ireland,0.0
cat__native_country_India,0.0
cat__native_country_Outlying-US(Guam-USVI-etc),0.0
cat__native_country_Peru,0.0
cat__native_country_Nicaragua,0.0
cat__native_country_Portugal,0.0
cat__native_country_Poland,0.0
cat__native_country_Taiwan,0.0
cat__native_country_Scotland,0.0
cat__native_country_Thailand,0.0
cat__native_country_Trinadad&Tobago,0.0
cat__native_country_Vietnam,0.0
cat__native_country_Yugoslavia,0.0
